SERIES_CONTEXT_SCHEMA_VERSION,SEASON,GAME_ID,GAME_DATE,TEAM_A_ID,TEAM_A,TEAM_B_ID,TEAM_B,TEAM_A_WON,game_number,series_score_diff,team_a_series_wins,team_b_series_wins,team_a_elimination_game,team_b_elimination_game,team_a_home,team_a_trailing_series,team_a_leading_series,previous_game_winner,previous_game_margin,team_a_recent_series_wins,team_b_recent_series_wins,team_a_road_wins_in_series,team_b_road_wins_in_series,team_a_home_losses_in_series,team_b_home_losses_in_series
2026-06-11-series-context-v1,2015-16,41500317,2016-05-30,1610612744,GSW,1610612760,OKC,1,7.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0
2026-06-11-series-context-v1,2015-16,41500301,2016-05-17,1610612739,CLE,1610612761,TOR,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500302,2016-05-19,1610612739,CLE,1610612761,TOR,1,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500303,2016-05-21,1610612739,CLE,1610612761,TOR,0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500304,2016-05-23,1610612739,CLE,1610612761,TOR,0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-15.0,2.0,1.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500305,2016-05-25,1610612739,CLE,1610612761,TOR,1,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,-1.0,-6.0,1.0,2.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500306,2016-05-27,1610612739,CLE,1610612761,TOR,1,6.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,38.0,1.0,2.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500401,2016-06-02,1610612739,CLE,1610612744,GSW,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500402,2016-06-05,1610612739,CLE,1610612744,GSW,0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,-15.0,0.0,1.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500403,2016-06-08,1610612739,CLE,1610612744,GSW,1,3.0,-2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0,-33.0,0.0,2.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500404,2016-06-10,1610612739,CLE,1610612744,GSW,0,4.0,-1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,30.0,1.0,2.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500405,2016-06-13,1610612739,CLE,1610612744,GSW,1,5.0,-2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,-1.0,-11.0,1.0,2.0,0.0,1.0,1.0,0.0
2026-06-11-series-context-v1,2015-16,41500406,2016-06-16,1610612739,CLE,1610612744,GSW,1,6.0,-1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,15.0,2.0,1.0,1.0,1.0,1.0,1.0
2026-06-11-series-context-v1,2015-16,41500407,2016-06-19,1610612739,CLE,1610612744,GSW,1,7.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,14.0,2.0,1.0,1.0,1.0,1.0,1.0
2026-06-11-series-context-v1,2016-17,41600171,2017-04-15,1610612746,LAC,1610612762,UTA,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2016-17,41600172,2017-04-18,1610612746,LAC,1610612762,UTA,1,2.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,-2.0,0.0,1.0,0.0,1.0,1.0,0.0
2026-06-11-series-context-v1,2016-17,41600173,2017-04-21,1610612746,LAC,1610612762,UTA,1,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0
2026-06-11-series-context-v1,2016-17,41600174,2017-04-23,1610612746,LAC,1610612762,UTA,0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0
2026-06-11-series-context-v1,2016-17,41600175,2017-04-25,1610612746,LAC,1610612762,UTA,0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,-1.0,-7.0,2.0,1.0,1.0,1.0,1.0,1.0
2026-06-11-series-context-v1,2016-17,41600176,2017-04-28,1610612746,LAC,1610612762,UTA,1,6.0,-1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,-1.0,-4.0,1.0,2.0,1.0,2.0,2.0,1.0
2026-06-11-series-context-v1,2016-17,41600177,2017-04-30,1610612746,LAC,1610612762,UTA,0,7.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0
2026-06-11-series-context-v1,2016-17,41600121,2017-04-15,1610612749,MIL,1610612761,TOR,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2016-17,41600122,2017-04-18,1610612749,MIL,1610612761,TOR,0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,1.0,0.0,1.0,0.0,0.0,1.0
2026-06-11-series-context-v1,2016-17,41600123,2017-04-20,1610612749,MIL,1610612761,TOR,1,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-6.0,1.0,1.0,1.0,0.0,0.0,1.0
2026-06-11-series-context-v1,2016-17,41600124,2017-04-22,1610612749,MIL,1610612761,TOR,0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,27.0,2.0,1.0,1.0,0.0,0.0,1.0
2026-06-11-series-context-v1,2016-17,41600125,2017-04-24,1610612749,MIL,1610612761,TOR,0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-11.0,1.0,2.0,1.0,1.0,1.0,1.0
2026-06-11-series-context-v1,2016-17,41600126,2017-04-27,1610612749,MIL,1610612761,TOR,0,6.0,-1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,-1.0,-25.0,1.0,2.0,1.0,1.0,1.0,1.0
